Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil
37.64637684573613,21.119119660683374,27.105391373894985,67.80567681313192,21.40718997432899
37.64637684573407,21.113624742832144,27.10539135337553,67.79943488229478,21.29122825907816
37.64637684573372,21.108973125040322,27.10539134332732,67.79415092132176,21.17802933822802
37.64637684573345,21.10486320454251,27.10539133546797,67.78948230015534,21.067488403970078
37.64637684573326,21.101259210004507,27.105391329579177,67.78538838414734,20.959553663011878
37.64637684573313,21.098125370092124,27.10539132544262,67.7818285386496,20.854173322060955
37.64637684573306,21.095425913471168,27.105391322839996,67.77876212901398,20.751295587824846
37.64637684573304,21.09312506880744,27.105391321552982,67.77614852059232,20.65086866701108
37.64637684573305,21.09118706476675,27.105391321363268,67.77394707873641,20.552840766327197
37.6463768457331,21.089576130014894,27.105391322052537,67.77211716879815,20.45716009248073
37.646376845733165,21.088256493217685,27.105391323402483,67.77061815612937,20.363774852179215
37.64637684573325,21.08719238304093,27.10539132519479,67.76940940608189,20.272633252130195
37.646376845733336,21.08634802815043,27.10539132721114,67.76845028400756,20.183683499041194
37.64637684573341,21.08568765721199,27.10539132923323,67.76770015525823,20.096873799619754
37.64637684573348,21.085175498891413,27.10539133104274,67.76711838518573,20.012152360573406
37.64637684573352,21.084775781854514,27.10539133242136,67.7666643391419,19.92946738860969
37.646376845733535,21.084452734767094,27.105391333150763,67.76629738247858,19.84876709043614
37.646376845733506,21.084170586294956,27.10539133301266,67.76597688054763,19.769999672760296
37.64637684573343,21.083893565103903,27.105391331788717,67.76566219870087,19.69311334228968
37.64637684573337,21.083639292674572,27.105391330587036,67.76537335790297,19.618284824207613
37.64637684573336,21.083431572334327,27.10539133019175,67.76513740014263,19.54534908781937
37.64637684573336,21.08324082261673,27.105391329842234,67.76492072003744,19.474066865675347
37.64637684573336,21.08306636202361,27.10539132953618,67.76472254344262,19.40441070000167
37.64637684573335,21.082907509056817,27.105391329271274,67.76454209621346,19.33635313302447
37.64637684573335,21.082763582218174,27.1053913290452,67.7643786042052,19.269866706969875
37.64637684573334,21.082633900009526,27.105391328855653,67.76423129327317,19.20492396406401
37.64637684573334,21.082517780932708,27.105391328700303,67.76409938927259,19.14149744653301
37.64637684573334,21.08241454348956,27.105391328576854,67.76398211805872,19.079559696603003
37.646376845733336,21.082323506181908,27.105391328482977,67.76387870548687,19.01908325650011
37.646376845733336,21.082243987511593,27.10539132841637,67.7637883774123,18.960040668450468
37.646376845733336,21.082175305980453,27.105391328374715,67.76371035969028,18.902404474680207
