Non-woody tree parts,Woody tree parts,Ground vegetation,Detritus/Decomposers,Soil
2.049261351513182e-40,1.3670172989189522,1.35904843594048e-09,0.08657420278689984,7.2898399802703
2.55738032447275e-41,1.276404500725051,8.065782555755501e-10,0.08083562707392078,7.227557736229183
3.191488542528391e-42,1.1917979756068522,4.786941106459619e-10,0.07547743353552545,7.165293674281539
3.982825323092937e-43,1.1127995975051415,2.8409896991781836e-10,0.07047440834280538,7.1030867240309075
4.970375842773223e-44,1.039037630163006,1.6860918677159103e-10,0.06580300903973886,7.040972842716365
6.202791740622217e-45,0.970164977876675,1.0006744435574988e-10,0.06144125372653724,6.9789852160674055
7.740787939300844e-46,0.9058575521954912,5.938877715753523e-11,0.057368617600473765,6.917154445805161
9.660133763449877e-47,0.8458127468851009,3.5246496750015584e-11,0.05356593636163861,6.855508724677589
1.2055385712603598e-47,0.7897480139779556,2.0918355160832656e-11,0.050015316025711166,6.79407399985514
1.5044545783570255e-48,0.7373995342102031,1.2414782261574485e-11,0.04670004871731668,6.73287412545896
1.87748748343505e-49,0.6885209755888133,7.368018059607818e-12,0.04360453404653562,6.671931004942624
2.3430147384739993e-50,0.6428823342470786,4.372826601617847e-12,0.040714205697867274,6.611264724000389
2.923970526110976e-51,0.6002688521341446,2.595217917915158e-12,0.03801546288578546,6.550893674630432
3.6489756112820466e-52,0.5604800064454072,1.5402293882350944e-12,0.035495606354074796,6.490834670939469
4.5537473421255785e-53,0.5233285660386747,9.14106885593938e-13,0.03314277861764959,6.4311030572367285
5.682859263789e-54,0.48863971039576165,5.425110082126939e-13,0.03094590816555437,6.3717128089285575
7.09193703244837e-55,0.4562502069837443,3.2197350076925554e-13,0.028894657362537397,6.312676626692003
8.850398811157587e-56,0.4260076431449098,1.9108724731529255e-13,0.02697937380401312,6.254006024371164
1.1044875153029233e-56,0.3977697089008546,1.1340789226223988e-13,0.025191044895482878,6.195711411015691
1.378347685216371e-57,0.37140352729599785,6.73061662045025e-14,0.023521255442678368,6.137802167447474
1.7201121017834526e-58,0.34678502912922554,3.994536816426178e-14,0.021962148052847436,6.080286717719947
2.1466177760781193e-59,0.32379836913157856,2.370707659875077e-14,0.020506386160853658,6.023172595807845
2.67887649403647e-60,0.3023353808425222,1.4069853569702973e-14,0.019147119506089303,5.9664665078455945
3.343109961295085e-61,0.282295067619838,8.350282188876863e-15,0.01787795189775837,5.9101743902073585
4.172041614532167e-62,0.2635831273879172,4.955788081833265e-15,0.01669291111683878,5.854301463707054
5.206508740335547e-63,0.2461115088881295,2.941198268096383e-15,0.015586420813094368,5.798852284173945
6.497474322588741e-64,0.22979799734316783,1.7455644005369012e-15,0.014553274264896068,5.7438307896450835
8.108537731942485e-65,0.2145658275856331,1.0359706482466097e-15,0.013588609878373362,5.689240344400151
1.0119067946409496e-65,0.20034332283042508,6.148356277765728e-16,0.012687888310607003,5.635083780045788
1.2628113661072202e-66,0.18706355739110916,3.648972582603793e-16,0.011846871109211093,5.581363433848369
1.5759282918299288e-67,0.17466404175314412,2.1656196074298917e-16,0.011061600767791521,5.528081184495377
1.9666832653286314e-68,0.1630864285220392,1.2852681619049575e-16,0.010328382103428912,5.475238485457582
2.454326815614599e-69,0.15227623786277128,7.627905853544721e-17,0.009643764868557246,5.422836396110395
3.0628826837746404e-70,0.14218260113842476,4.527066758138766e-17,0.009004527515412466,5.370875610764172
3.822331351669393e-71,0.1327580215417868,2.686757522462264e-17,0.008407662036657408,5.319356485741463
4.770087029239053e-72,0.12395815059347987,1.594556999083338e-17,0.00785035981084592,5.268279064631815
5.952840864144404e-73,0.11574157945491567,9.463496434153102e-18,0.007329998386120565,5.217643101843792
7.428861179390035e-74,0.10806964407407842,5.616466818728723e-18,0.00684412913995338,5.16744808456976
9.270864060058225e-75,0.10090624324724626,3.333302838477058e-18,0.00639046575686236,5.117693253265758
1.1569595708497227e-75,0.09421766874047056,1.978273560870755e-18,0.005966873469881259,5.068377620747916
1.4438303052544122e-76,0.08797244667149565,1.1740806255180965e-18,0.005571359015161184,5.019499989996459
1.801831285115937e-77,0.08214118940564148,6.968021726025853e-19,0.005202061252429215,4.971058970751686
2.2485994151853324e-78,0.07669645726881534,4.1354337784886183e-19,0.004857242407172829,4.923052994985614
2.806144710517219e-79,0.07161262942685478,2.45432824533099e-19,0.004535279893334821,4.875480331320455
3.5019346190281255e-80,0.06686578332364623,1.4566131289934522e-19,0.004234658678041712,4.82833909846609
